seed,particles_per_source,source_count,condition,run_directory,target,target_source_id,method,lambda_fit_frame,parent_source_ids,lambda,lambda_fit_rmse,initial_candidate_rmse,reference_terminal_rmse,cross_frame_rmse,generation_terminal_rmse,direct_relative_distance,generated_relative_distance,direct_point_distance,generated_point_distance,direct_set_rmse,generated_set_rmse,efs_direct_ratio,nearest_parent_relative_distance,nearest_parent_point_distance,nearest_parent_rmse,efs_parent_ratio,direct_aligned_rmse,generated_aligned_rmse,direct_relation_rmse,generated_relation_rmse,terminal_gap,max_replay_residual,generated_nearest_memory_rmse,memory_distance_ratio
46,4,512,seed46_p04,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\002_20260720T200720_834951Z_seed45-46-47\conditions\seed46_p04\runs\001_20260720T205331_190197Z_seed46,0,49,shared_d1,d1,25;351;117;413,0.312881354;0.290391305;0.396727341;0.000000000,5.741128674e-01,5.741128674e-01,6.269367362e-01,6.269367362e-01,6.244331115e-01,4.519481146e-01,5.775610427e-01,nan,nan,5.741128674e-01,7.323848482e-01,1.277936613e+00,5.826532526e-01,nan,7.361188187e-01,9.912603080e-01,5.741128674e-01,7.323848482e-01,1.476113204e+00,1.936862888e+00,6.244331115e-01,1.109853963e-05,3.078430634e-01,4.181975187e-01
46,4,512,seed46_p04,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\002_20260720T200720_834951Z_seed45-46-47\conditions\seed46_p04\runs\001_20260720T205331_190197Z_seed46,0,49,shared_du,du,25;351;117;413,0.369465963;0.314341461;0.316192576;0.000000000,6.223444677e-01,5.783846888e-01,6.223444677e-01,5.783846888e-01,6.199655281e-01,4.560147131e-01,5.745794348e-01,nan,nan,5.783846888e-01,7.283216983e-01,1.260001966e+00,5.826532526e-01,nan,7.361188187e-01,9.861430143e-01,5.783846888e-01,7.283216983e-01,1.565945380e+00,1.993437414e+00,6.199655281e-01,1.137581853e-05,2.936673609e-01,3.989401621e-01
46,4,512,seed46_p04,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\002_20260720T200720_834951Z_seed45-46-47\conditions\seed46_p04\runs\001_20260720T205331_190197Z_seed46,0,49,per_particle_d1,d1,25;351;117;413,0.107189962;0.892810038;0.000000000;0.000000000|0.503319589;0.000000000;0.496680411;0.000000000|0.000000000;0.644658368;0.355341632;0.000000000|0.892990703;0.000000000;0.000000000;0.107009297,4.399412015e-01,4.399412015e-01,5.385716759e-01,5.385716759e-01,5.359354328e-01,3.457719801e-01,5.031636412e-01,nan,nan,4.399412015e-01,6.355708617e-01,1.455189171e+00,5.826532526e-01,nan,7.361188187e-01,8.635730410e-01,4.399412015e-01,6.355708617e-01,1.025956271e+00,1.601143539e+00,5.359354328e-01,9.110122169e-06,3.825981467e-01,5.197505307e-01
46,4,512,seed46_p04,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\002_20260720T200720_834951Z_seed45-46-47\conditions\seed46_p04\runs\001_20260720T205331_190197Z_seed46,0,49,per_particle_du,du,25;351;117;413,0.000000000;0.916429676;0.000000000;0.083570324|0.412394800;0.000000000;0.000000000;0.587605200|0.000000000;0.216150204;0.783849796;0.000000000|0.000000000;0.000000000;0.368546124;0.631453876,4.040518425e-01,6.684565845e-01,4.040518425e-01,6.684565845e-01,4.016255916e-01,5.224041537e-01,5.734718795e-01,nan,nan,6.684565845e-01,7.347539823e-01,1.097755206e+00,5.826532526e-01,nan,7.361188187e-01,9.842421319e-01,6.684565845e-01,7.347539823e-01,1.783790785e+00,1.903949741e+00,4.016255916e-01,1.501432667e-05,4.395370856e-01,5.971007321e-01
46,5,512,seed46_p05,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\002_20260720T200720_834951Z_seed45-46-47\conditions\seed46_p05\runs\001_20260720T205330_389475Z_seed46,0,49,shared_d1,d1,258;141;39;3,0.203939435;0.405373348;0.312936891;0.077750326,3.080436199e-01,3.080436199e-01,6.386913323e-01,6.386913323e-01,6.385306084e-01,4.660832285e-01,5.438217158e-01,nan,nan,3.080436199e-01,3.604879544e-01,1.166790999e+00,6.905832233e-01,nan,4.537241520e-01,7.874817944e-01,3.080436199e-01,3.604879544e-01,1.506031082e-01,3.174831443e-01,6.385306084e-01,1.004742447e-05,3.696698086e-01,8.147457149e-01
46,5,512,seed46_p05,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\002_20260720T200720_834951Z_seed45-46-47\conditions\seed46_p05\runs\001_20260720T205330_389475Z_seed46,0,49,shared_du,du,258;141;39;3,0.293665372;0.371711343;0.244236549;0.090386735,6.336970642e-01,3.106511967e-01,6.336970642e-01,3.106511967e-01,6.336051048e-01,4.715666216e-01,5.730827420e-01,nan,nan,3.106511967e-01,3.790014896e-01,1.215274185e+00,6.905832233e-01,nan,4.537241520e-01,8.298532641e-01,3.106511967e-01,3.790014896e-01,1.578741978e-01,2.821174508e-01,6.336051048e-01,1.185512704e-05,3.215266574e-01,7.086390618e-01
46,5,512,seed46_p05,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\002_20260720T200720_834951Z_seed45-46-47\conditions\seed46_p05\runs\001_20260720T205330_389475Z_seed46,0,49,per_particle_d1,d1,258;141;39;3,0.000000000;0.428050813;0.000000000;0.571949187|0.343566157;0.472707442;0.000000000;0.183726402|0.062829455;0.417260713;0.216792964;0.303116868|0.357297977;0.000000000;0.433479119;0.209222904|0.000000000;0.173828241;0.430594463;0.395577296,2.317883921e-01,2.317883921e-01,5.012204911e-01,5.012204911e-01,5.024732891e-01,3.543976774e-01,4.505430587e-01,nan,nan,2.317883921e-01,2.981257369e-01,1.271292357e+00,6.905832233e-01,nan,4.537241520e-01,6.524095048e-01,2.317883921e-01,2.981257369e-01,1.855495209e-01,2.329068773e-01,5.024732891e-01,8.987622788e-06,3.645655780e-01,8.034960811e-01
46,5,512,seed46_p05,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\002_20260720T200720_834951Z_seed45-46-47\conditions\seed46_p05\runs\001_20260720T205330_389475Z_seed46,0,49,per_particle_du,du,258;141;39;3,0.000000000;0.708395052;0.000000000;0.291604948|0.630205780;0.369794220;0.000000000;0.000000000|0.000000000;0.000000000;0.137684175;0.862315825|0.306638864;0.000000000;0.693361136;0.000000000|0.000000000;0.510171175;0.489828825;0.000000000,3.931119382e-01,3.000642669e-01,3.931119382e-01,3.000642669e-01,3.945877626e-01,3.148193892e-01,3.919456793e-01,nan,nan,2.081020040e-01,2.589359305e-01,1.244985832e+00,6.905832233e-01,nan,4.537241520e-01,5.675574878e-01,3.000642669e-01,3.512608880e-01,1.467093271e-01,2.467879767e-01,3.945877626e-01,1.043842277e-05,3.726818675e-01,8.213842394e-01
46,6,512,seed46_p06,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\002_20260720T200720_834951Z_seed45-46-47\conditions\seed46_p06\runs\001_20260720T205330_611824Z_seed46,0,49,shared_d1,d1,434;493;357;17,0.422907997;0.000000000;0.268111419;0.308980584,3.821752338e-01,3.821752338e-01,7.078557862e-01,7.078557862e-01,7.093912298e-01,4.818038878e-01,5.708877561e-01,nan,nan,3.821752338e-01,4.543787061e-01,1.184896533e+00,6.917538145e-01,nan,5.391421104e-01,8.252759062e-01,3.821752338e-01,4.543787061e-01,5.540654507e-01,7.925658786e-01,7.093912298e-01,9.352881031e-06,4.485675844e-01,8.320025013e-01
46,6,512,seed46_p06,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\002_20260720T200720_834951Z_seed45-46-47\conditions\seed46_p06\runs\001_20260720T205330_611824Z_seed46,0,49,shared_du,du,434;493;357;17,0.205701942;0.308585385;0.136964423;0.348748250,6.647706721e-01,4.275013850e-01,6.647706721e-01,4.275013850e-01,6.661146465e-01,5.383774332e-01,5.727305184e-01,nan,nan,4.275013850e-01,4.560632159e-01,1.063808553e+00,6.917538145e-01,nan,5.391421104e-01,8.279398051e-01,4.275013850e-01,4.560632159e-01,6.177115669e-01,8.265455414e-01,6.661146465e-01,1.191646401e-05,4.124995351e-01,7.651035362e-01
