stage,task_id,source_count,memory_particles,seed,epsilon,exponent_s,gamma,transport_time,steps,finite,hard_pass,radius_ratio,radial_cdf_gap,radius_cv,expected_radius_cv,radial_zone_rmse,radial_overflow,angular_resultant,angular_moment_error,covariance_ratio,uniformity_score,runtime_seconds,error
potential,potential_C64_seed42_eps0.01_s3_g0.0005,64,640,42,0.01,3.0,0.0005,2.5,5000,1,1,0.44905936280000197,0.10746884727820527,0.20701339401945015,0.20412414523193154,0.05379630999195019,0.0,0.0008943219572079014,0.012576728668854578,0.89815134006848,0.12093989790426775,102.30083880000166,
potential,potential_C64_seed42_eps0.01_s3_g0.0005,64,640,42,0.01,3.0,0.0005,3.0,6000,1,1,0.4485862043702889,0.14930714295887548,0.20599842670300636,0.20412414523193154,0.07229834563287046,0.0,0.0008027222142687649,0.006264440108934332,0.9458967808657157,0.1563743052820786,102.30083880000166,
potential,potential_C64_seed42_eps0.01_s3_g0.0005,64,640,42,0.01,3.0,0.0005,3.5,7000,1,1,0.44840930332322887,0.17130823354156177,0.20557773182092548,0.20412414523193154,0.0876254680800622,0.0,0.0008067958351356568,0.003266606903388292,0.9699367288602805,0.1753816362800857,102.30083880000166,
potential,potential_C64_seed42_eps0.01_s3_g0.0005,64,640,42,0.01,3.0,0.0005,4.0,8000,1,1,0.4483149618923454,0.18519011678694186,0.20534400993386948,0.20412414523193154,0.09349183202959498,0.0,0.0008408838764313012,0.0019298013663651115,0.9819425098605008,0.18796080202973828,102.30083880000166,
potential,potential_C64_seed50_eps0.01_s3_g0.0005,64,640,50,0.01,3.0,0.0005,1.5,3000,1,1,0.4707166405409478,0.08125000000000004,0.21940527493819728,0.20412414523193154,0.02579308440502997,0.0828125,0.0010662530194654703,0.04503125475112172,0.6884604610766142,0.12734750777058723,102.34997359999761,
potential,potential_C64_seed50_eps0.01_s3_g0.0005,64,640,50,0.01,3.0,0.0005,2.0,4000,1,1,0.4634619209637543,0.0606623234998348,0.2088633843475499,0.20412414523193154,0.03220797285805178,0.0140625,0.0004315415692342542,0.0220114203679462,0.8325352541950736,0.08310528543701526,102.34997359999761,
potential,potential_C64_seed50_eps0.01_s3_g0.0005,64,640,50,0.01,3.0,0.0005,2.5,5000,1,1,0.4620278447953722,0.1128575132012547,0.20633493504926784,0.20412414523193154,0.05675554075374492,0.0,0.0005618884060500646,0.011196414124953388,0.9118006961751622,0.12461581573225815,102.34997359999761,
potential,potential_C64_seed50_eps0.01_s3_g0.0005,64,640,50,0.01,3.0,0.0005,3.0,6000,1,1,0.46163588360444785,0.14894686842526528,0.20549616514852964,0.20412414523193154,0.0759574305120967,0.0,0.0006380142314770516,0.006078471717094586,0.952411225644238,0.1556633543738369,102.34997359999761,
potential,potential_C64_seed50_eps0.01_s3_g0.0005,64,640,50,0.01,3.0,0.0005,3.5,7000,1,1,0.4614722635215261,0.17363911586183123,0.20508604431223718,0.20412414523193154,0.0868924218142756,0.0,0.0007009572475433832,0.0036313316071488085,0.9730377522874749,0.17797140471652342,102.34997359999761,
potential,potential_C64_seed50_eps0.01_s3_g0.0005,64,640,50,0.01,3.0,0.0005,4.0,8000,1,1,0.4613761723018529,0.18948009480560313,0.20483451441528164,0.20412414523193154,0.09151502608861563,0.0,0.0007637518775101168,0.0024680001705373548,0.9836920041345422,0.19271184685365061,102.34997359999761,
potential,potential_C64_seed42_eps0.03_s1_g0.0005,64,640,42,0.03,1.0,0.0005,1.5,3000,1,1,0.40986373053942016,0.10468750000000004,0.2413379100710103,0.20412414523193154,0.032340353082488144,0.10625,0.01685939236642202,0.10313353373556862,0.4677376755673174,0.22468042610199068,102.36790640000254,
potential,potential_C64_seed42_eps0.03_s1_g0.0005,64,640,42,0.03,1.0,0.0005,2.0,4000,1,1,0.3879234499949291,0.09915955156136214,0.18962527014795985,0.20412414523193154,0.03530696859332446,0.053125,0.006108673432727761,0.06527167010245977,0.6161588726268088,0.17053989509654965,102.36790640000254,
potential,potential_C64_seed42_eps0.03_s1_g0.0005,64,640,42,0.03,1.0,0.0005,2.5,5000,1,1,0.3814642267210826,0.1561469897497283,0.16143458038792233,0.20412414523193154,0.05243113042363287,0.01875,0.0023882157151770044,0.04044658795313856,0.7401936439339661,0.19898179341804384,102.36790640000254,
potential,potential_C64_seed42_eps0.03_s1_g0.0005,64,640,42,0.03,1.0,0.0005,3.0,6000,1,1,0.37954465805180254,0.22767116138305377,0.14584108687697953,0.20412414523193154,0.0742573912566958,0.0,0.0013495148020961883,0.02503378578465124,0.8302142718645756,0.2540544619698012,102.36790640000254,
potential,potential_C64_seed42_eps0.03_s1_g0.0005,64,640,42,0.03,1.0,0.0005,3.5,7000,1,1,0.3789351677896396,0.2775350842824249,0.13685572007713317,0.20412414523193154,0.09353099419443804,0.0,0.0011175293111836814,0.015640778108220035,0.8911475675903732,0.2942933917018286,102.36790640000254,
potential,potential_C64_seed42_eps0.03_s1_g0.0005,64,640,42,0.03,1.0,0.0005,4.0,8000,1,1,0.37872065817091294,0.3194240736983367,0.1314865000430741,0.20412414523193154,0.11785228108208173,0.0,0.0010299244882823275,0.00995588925208859,0.9309258614728093,0.3304098874387076,102.36790640000254,
potential,potential_C64_seed50_eps0.03_s1_g0.0005,64,640,50,0.03,1.0,0.0005,1.5,3000,1,1,0.4183590998180695,0.10695264916632863,0.2196106658929183,0.20412414523193154,0.033347571828770385,0.1078125,0.009566776768170852,0.10326157458776443,0.49407475327430417,0.2197810005222639,103.99109889999818,
potential,potential_C64_seed50_eps0.03_s1_g0.0005,64,640,50,0.03,1.0,0.0005,2.0,4000,1,1,0.3980209879424543,0.09646992889914796,0.17752203538792768,0.20412414523193154,0.03562362935959783,0.04375,0.003235434119247275,0.06435532773183313,0.6346791348908851,0.16406069075022836,103.99109889999818,
potential,potential_C64_seed50_eps0.03_s1_g0.0005,64,640,50,0.03,1.0,0.0005,2.5,5000,1,1,0.3921608091395174,0.17255108832513177,0.1543104356878711,0.20412414523193154,0.05708152749576696,0.00625,0.0015673682441868422,0.03951066241208692,0.7517786924438804,0.21362911898140555,103.99109889999818,
potential,potential_C64_seed50_eps0.03_s1_g0.0005,64,640,50,0.03,1.0,0.0005,3.0,6000,1,1,0.39044729073940154,0.22646539721921433,0.14139436407388023,0.20412414523193154,0.07802806486290685,0.0,0.0014733597921430342,0.024356191479831844,0.8367262026583633,0.2522949484911892,103.99109889999818,
potential,potential_C64_seed50_eps0.03_s1_g0.0005,64,640,50,0.03,1.0,0.0005,3.5,7000,1,1,0.38991008189073995,0.2851753239369982,0.1339560037570111,0.20412414523193154,0.0987841119879609,0.0,0.0014388187188109245,0.015170708326320776,0.8944159083861117,0.30178485098212987,103.99109889999818,
potential,potential_C64_seed50_eps0.03_s1_g0.0005,64,640,50,0.03,1.0,0.0005,4.0,8000,1,1,0.3897228531053323,0.33171391798465755,0.1295230525700727,0.20412414523193154,0.12040986320169125,0.0,0.0013369086725879404,0.009583721187593843,0.9322864970830094,0.3426345478448393,103.99109889999818,
potential,potential_C64_seed42_eps0.03_s1.5_g0.0005,64,640,42,0.03,1.5,0.0005,1.5,3000,1,1,0.4143675567257568,0.09463131217686294,0.2317183116117609,0.20412414523193154,0.03013235776329161,0.0953125,0.01227858174064204,0.0858895568008524,0.5119505504426327,0.19279945071835738,123.21677400000044,
potential,potential_C64_seed42_eps0.03_s1.5_g0.0005,64,640,42,0.03,1.5,0.0005,2.0,4000,1,1,0.39638136786245354,0.09219106434716784,0.18781701008454596,0.20412414523193154,0.03603925810834624,0.05,0.003985587573971298,0.05010398508128947,0.6736030431066938,0.1462806370024286,123.21677400000044,
potential,potential_C64_seed42_eps0.03_s1.5_g0.0005,64,640,42,0.03,1.5,0.0005,2.5,5000,1,1,0.3916560308019721,0.15957431793362553,0.16864565984413146,0.20412414523193154,0.05204321371466216,0.009375,0.0016352787703086161,0.02879296028532068,0.795482344129552,0.19000255698925483,123.21677400000044,
potential,potential_C64_seed42_eps0.03_s1.5_g0.0005,64,640,42,0.03,1.5,0.0005,3.0,6000,1,1,0.3903772921298334,0.22604676077341535,0.1604434732993633,0.20412414523193154,0.07742814208994041,0.0,0.0010011097772730832,0.016651471810615194,0.875733744998115,0.2436993423613036,123.21677400000044,
potential,potential_C64_seed42_eps0.03_s1.5_g0.0005,64,640,42,0.03,1.5,0.0005,3.5,7000,1,1,0.3899992782705971,0.2714276227441017,0.15688179014345377,0.20412414523193154,0.09535859541095393,0.0,0.000786616173602743,0.009787079138114024,0.9255140469072215,0.2820013180558185,123.21677400000044,
potential,potential_C64_seed42_eps0.03_s1.5_g0.0005,64,640,42,0.03,1.5,0.0005,4.0,8000,1,1,0.3898734950940681,0.3104644634716951,0.1552935544270495,0.20412414523193154,0.10922757922109233,0.0,0.000696094384285012,0.005904160020231304,0.9555517673515711,0.31706471787621143,123.21677400000044,
potential,potential_C64_seed42_eps0.03_s2_g0.0005,64,640,42,0.03,2.0,0.0005,1.5,3000,1,1,0.4223118297848223,0.09531250000000002,0.22631663186546844,0.20412414523193154,0.030306056016083653,0.096875,0.009294224197427762,0.07303945831523274,0.5536773979505453,0.1776461825126605,122.88245499999903,
potential,potential_C64_seed42_eps0.03_s2_g0.0005,64,640,42,0.03,2.0,0.0005,2.0,4000,1,1,0.4074550297322741,0.08660998728395353,0.19207443996428858,0.20412414523193154,0.035351886220893504,0.0421875,0.002822436537721063,0.04006317081762286,0.72135510532598,0.12949559463929744,122.88245499999903,
potential,potential_C64_seed42_eps0.03_s2_g0.0005,64,640,42,0.03,2.0,0.0005,2.5,5000,1,1,0.40395581286057014,0.15881415483956385,0.18065169719814456,0.20412414523193154,0.05073194722016887,0.003125,0.001153290736624278,0.021759676830536083,0.8366607296301932,0.18172712240672423,122.88245499999903,
potential,potential_C64_seed42_eps0.03_s2_g0.0005,64,640,42,0.03,2.0,0.0005,3.0,6000,1,1,0.4030915179703233,0.21186497332401277,0.17690585017825622,0.20412414523193154,0.07651146258077936,0.0,0.0007248183854742087,0.01191242110962177,0.9065940373005953,0.22450221281910873,122.88245499999903,
potential,potential_C64_seed42_eps0.03_s2_g0.0005,64,640,42,0.03,2.0,0.0005,3.5,7000,1,1,0.40285142785013606,0.2513397126196818,0.17556532697779978,0.20412414523193154,0.09994627463042333,0.0,0.0006233239756314052,0.006604661685793367,0.9469178739538463,0.2585676982811066,122.88245499999903,
potential,potential_C64_seed42_eps0.03_s2_g0.0005,64,640,42,0.03,2.0,0.0005,4.0,8000,1,1,0.4027727425778891,0.2758865417308395,0.1749934418831256,0.20412414523193154,0.11581698588182132,0.0,0.0006133749811881244,0.0037442635572409225,0.9696792887655572,0.28024418026926856,122.88245499999903,
potential,potential_C64_seed50_eps0.03_s1.5_g0.0005,64,640,50,0.03,1.5,0.0005,1.5,3000,1,1,0.42304754827686714,0.09999999999999998,0.21527001208659138,0.20412414523193154,0.03304604387252732,0.1015625,0.005807983016397995,0.08331916692086862,0.543632869480075,0.1891271499372666,123.28622140000152,
potential,potential_C64_seed50_eps0.03_s1.5_g0.0005,64,640,50,0.03,1.5,0.0005,2.0,4000,1,1,0.4068540664449609,0.10368309432363465,0.18044389641288588,0.20412414523193154,0.03739242382321585,0.0328125,0.0011558605298783548,0.047396799624120585,0.6960745679229062,0.1522357544776336,123.28622140000152,
potential,potential_C64_seed50_eps0.03_s1.5_g0.0005,64,640,50,0.03,1.5,0.0005,2.5,5000,1,1,0.40273387373308905,0.1672003785266094,0.1650760239410569,0.20412414523193154,0.05572016087669704,0.0015625,0.000874841877020216,0.026906699974665157,0.8093422707412037,0.1949819203782948,123.28622140000152,
potential,potential_C64_seed50_eps0.03_s1.5_g0.0005,64,640,50,0.03,1.5,0.0005,3.0,6000,1,1,0.4016397752424317,0.2276871247789174,0.15837605057695267,0.20412414523193154,0.07989250590637396,0.0,0.0009399183305801946,0.015461876952980265,0.8835563780986067,0.24408892006247784,123.28622140000152,
potential,potential_C64_seed50_eps0.03_s1.5_g0.0005,64,640,50,0.03,1.5,0.0005,3.5,7000,1,1,0.4013183774722442,0.2818260312979812,0.15540249363777278,0.20412414523193154,0.0999584874773023,0.0,0.0008558320399575237,0.00902936941308137,0.929590179717059,0.2917112327510201,123.28622140000152,
potential,potential_C64_seed50_eps0.03_s1.5_g0.0005,64,640,50,0.03,1.5,0.0005,4.0,8000,1,1,0.401210904383215,0.3137693169850395,0.15404061035699781,0.20412414523193154,0.10974268554783047,0.0,0.0007522619241675111,0.005391274556613522,0.9574195731941105,0.31991285346582055,123.28622140000152,
potential,potential_C64_seed50_eps0.03_s2_g0.0005,64,640,50,0.03,2.0,0.0005,1.5,3000,1,1,0.43135562181207027,0.08906250000000004,0.2140006447080566,0.20412414523193154,0.029122921063142,0.090625,0.0034899995565481675,0.06798918061865523,0.5899809903003784,0.16054168017520343,123.77219029999833,
potential,potential_C64_seed50_eps0.03_s2_g0.0005,64,640,50,0.03,2.0,0.0005,2.0,4000,1,1,0.4183996609236688,0.09433656616801123,0.18759374265040418,0.20412414523193154,0.032109279957280266,0.0265625,0.0005868007743228263,0.03608308506098169,0.7465353713820571,0.13100645200331573,123.77219029999833,
potential,potential_C64_seed50_eps0.03_s2_g0.0005,64,640,50,0.03,2.0,0.0005,2.5,5000,1,1,0.41547020325101686,0.15726676559398511,0.17866277697110602,0.20412414523193154,0.05711787086258555,0.0015625,0.0005973532297149443,0.019318815434562462,0.8519408710039547,0.1771829342582625,123.77219029999833,
potential,potential_C64_seed50_eps0.03_s2_g0.0005,64,640,50,0.03,2.0,0.0005,3.0,6000,1,1,0.4147588688476245,0.22078507751371046,0.17571259946183618,0.20412414523193154,0.07707418301545596,0.0,0.000598788802274279,0.010533359226419623,0.9152774381256601,0.23191722554240438,123.77219029999833,
