stage,plane,finite,mean_pair_distance,rms_radius,radius_ratio,radius_mean,radius_cv,expected_radius_cv,radius_q05_normalized,radius_q25_normalized,radius_q50_normalized,radius_q75_normalized,radius_q95_normalized,uniform_ball_radius,radial_cdf_gap,radial_zone_0,radial_zone_1,radial_zone_2,radial_zone_3,radial_zone_4,radial_zone_5,radial_zone_6,radial_zone_7,radial_zone_8,radial_zone_9,radial_overflow,angular_resultant,angular_moment_error,covariance_ratio,vertex_source_id,vertex_particle,vertex_particle_rmse,vertex_particle_relative_rmse,vertex_source_relative_rmse,vertex_replay_residual,gate_pass
terminal,2,True,1.1459207108258465,0.8454679158298983,0.22097542444428736,0.826654620415936,0.21455685277405498,0.20412414523193154,0.4732266372321531,0.7175403222354111,0.8305026604963257,0.926672296361494,1.0230686141845646,1.0354824938388036,0.07421875,0.1171875,0.0859375,0.08203125,0.12109375,0.12890625,0.12109375,0.0625,0.0859375,0.06640625,0.05078125,0.078125,0.00227789690226192,0.016145457132488366,0.8717880951456208,,,,,,,1
terminal,3,True,1.146270319611471,0.8457460068740724,0.22068382873625889,0.826871107206095,0.2148833554643502,0.20412414523193154,0.46130321274205743,0.718088128543757,0.8310345053646224,0.9249877311624495,1.024614667657222,1.0358230844189358,0.067371003124989,0.11328125,0.0859375,0.0859375,0.13671875,0.11328125,0.1015625,0.078125,0.09375,0.0625,0.05859375,0.0703125,0.002801482220379578,0.016882267439206972,0.8668756136664638,,,,,,,1
terminal,4,True,1.1460944789397391,0.8456181632651514,0.2208995373012277,0.8267820160771246,0.21467185991120713,0.20412414523193154,0.46284557959669903,0.7129969424018885,0.8311442693031514,0.9282488029163094,1.0182129336900463,1.0356665086145695,0.078125,0.1171875,0.08203125,0.08984375,0.12890625,0.11328125,0.10546875,0.08203125,0.08203125,0.06640625,0.05078125,0.08203125,0.0027835370655292005,0.01634376148485738,0.8695589994636634,,,,,,,1
terminal,5,True,1.146323427567414,0.8458059584538352,0.22050423606189404,0.8269048233528817,0.21502989661784358,0.20412414523193154,0.4569276539756564,0.7133995074770296,0.8370379397724106,0.9270712095201177,1.0248643320048711,1.035896509808782,0.08203125,0.1171875,0.08203125,0.09375,0.125,0.1015625,0.12109375,0.078125,0.08984375,0.0625,0.04296875,0.0859375,0.0026783777311706536,0.01616828293167652,0.8704175445098508,,,,,,,1
terminal,6,True,1.146057955327761,0.8456117818322998,0.22101018020080562,0.8267164569419075,0.21502123924515965,0.20412414523193154,0.47920195945666477,0.7218502080670096,0.8333732031935257,0.9254897803343248,1.0254034244709456,1.0356586929874125,0.07421875,0.125,0.07421875,0.09765625,0.13671875,0.1015625,0.11328125,0.05859375,0.09765625,0.0625,0.0546875,0.078125,0.002646082931741628,0.015688885852298388,0.8721397454829312,,,,,,,1
terminal,7,True,1.1461796084059823,0.8456870759254013,0.22094724325873963,0.8268390650438683,0.2147327232466412,0.20412414523193154,0.47342061419312853,0.7137749025306226,0.8311917620196481,0.9262898050192337,1.0204400509230556,1.0357509090417845,0.07738513748210818,0.1171875,0.0859375,0.08984375,0.140625,0.09765625,0.125,0.06640625,0.08203125,0.0625,0.0546875,0.078125,0.0025653302530324177,0.016321302280323535,0.8706518040400285,,,,,,,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,0,9.361731127e-04,4.465584114e-04,4.414028682e-04,4.072691505e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,1,9.222667265e-04,4.399250083e-04,4.414028682e-04,4.949988210e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,2,9.158271444e-04,4.368533012e-04,4.414028682e-04,4.412074385e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,3,9.217703445e-04,4.396882320e-04,4.414028682e-04,4.302837465e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,4,9.389813791e-04,4.478979661e-04,4.414028682e-04,4.394929955e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,5,9.125257855e-04,4.352785395e-04,4.414028682e-04,4.584443592e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,6,9.305876591e-04,4.438941272e-04,4.414028682e-04,5.819149071e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,7,9.244584855e-04,4.409704863e-04,4.414028682e-04,6.993267976e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,0,9.831831074e-04,4.689823716e-04,4.710204688e-04,5.507556326e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,1,9.890643741e-04,4.717877599e-04,4.710204688e-04,5.845119041e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,2,9.971905114e-04,4.756639607e-04,4.710204688e-04,4.690728899e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,3,9.883118745e-04,4.714288145e-04,4.710204688e-04,7.887250937e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,4,9.914754599e-04,4.729378577e-04,4.710204688e-04,4.650934076e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,5,1.000483288e-03,4.772346287e-04,4.710204688e-04,4.969614122e-09,1
