layout,seed,trial,trial_kind,method,source_ids,lambda,independent_control_nondegenerate,clean_target_rmse,clean_target_relative_rmse,noisy_target_rmse,jitter_error_floor,centroid_rmse,centered_shape_rmse,per_particle_rmse,mean_particle_rmse,max_particle_rmse,terminal_commutation_gap,terminal_commutation_relative,max_replay_residual,template_coherence_error,nearest_memory_source
slot,101,13,random,shared,42;141;247;173,0.310765199;0.045155331;0.432024414;0.212055056,1,4.973446540e-01,2.256923225e-01,4.915946701e-01,3.498601729e-02,3.856347169e-01,3.140661873e-01,4.314021384e-01;4.397786909e-01;4.245155519e-01;4.382191086e-01;4.871429555e-01;4.216628022e-01;4.641622514e-01;7.723320028e-01,4.849019377e-01,7.723320028e-01,7.643723601e-02,8.798135868e-02,4.967147573e-09,3.072260875e-01,1.908650187e+00
slot,101,13,random,independent,42;141;247;173,0.310765199;0.045155331;0.432024414;0.212055056,1,1.086941760e+00,4.932483103e-01,1.082006048e+00,3.498601729e-02,8.148026086e-01,7.194019030e-01,4.314021384e-01;1.464556573e+00;9.396981335e-01;1.082325360e+00;4.871429555e-01;1.561937426e+00;1.130946778e+00;1.053587769e+00,1.018949642e+00,1.561937426e+00,,,5.728563780e-09,7.252009865e-01,4.761752845e+00
slot,101,14,random,shared,38;215;235;4,0.257711988;0.335047771;0.113723251;0.293516990,1,7.783161309e-01,3.531956639e-01,7.715220307e-01,5.118908545e-02,7.157215081e-01,3.058083098e-01,7.297946369e-01;7.489753714e-01;7.676727259e-01;7.790340949e-01;7.045813060e-01;7.883120227e-01;9.677615788e-01;7.085160598e-01,7.743309746e-01,9.677615788e-01,9.963252846e-02,1.146797776e-01,5.565258537e-09,2.981274367e-01,1.821853694e+00
slot,101,14,random,independent,38;215;235;4,0.257711988;0.335047771;0.113723251;0.293516990,1,9.523176882e-01,4.321566325e-01,9.580846770e-01,5.118908545e-02,8.716342127e-01,3.836180113e-01,7.297946369e-01;1.090591322e+00;1.055335656e+00;7.790340949e-01;7.045813060e-01;1.090324984e+00;1.096893407e+00;9.613720348e-01,9.384909302e-01,1.096893407e+00,,,5.000627179e-09,3.893086192e-01,2.889175546e+00
slot,101,15,random,shared,59;252;130;118,0.008738091;0.393852196;0.030630211;0.566779501,1,8.819250687e-01,4.002128413e-01,8.789344868e-01,3.908138173e-02,7.599172308e-01,4.475685747e-01,9.257410692e-01;7.965018412e-01;9.476086792e-01;9.554192115e-01;8.435098489e-01;9.455122732e-01;8.224277457e-01;7.989024375e-01,8.794528883e-01,9.554192115e-01,1.099394085e-01,1.265432797e-01,7.106602265e-09,4.494929629e-01,3.531442637e+00
slot,101,15,random,independent,59;252;130;118,0.008738091;0.393852196;0.030630211;0.566779501,1,1.169590076e+00,5.307536704e-01,1.171624394e+00,3.908138173e-02,9.087465235e-01,7.362884632e-01,9.257410692e-01;1.542722973e+00;8.312100406e-01;1.385839714e+00;8.435098489e-01;1.099208646e+00;8.224277457e-01;1.580796985e+00,1.128932128e+00,1.580796985e+00,,,7.106602265e-09,7.338862644e-01,4.605450492e+00
slot,103,0,random,shared,253;162;70;252,0.122048016;0.024458830;0.619187339;0.234305815,1,3.196661290e-01,1.435568588e-01,3.160917288e-01,4.118494275e-02,3.148298518e-01,5.539493168e-02,3.635659203e-01;3.251957478e-01;3.001353182e-01;2.758460540e-01;3.281492415e-01;3.060970999e-01;3.608104091e-01;2.860511388e-01,3.182313662e-01,3.635659203e-01,1.191828184e-01,1.034585714e-01,3.860001096e-09,4.679336791e-02,1.198275723e-03
slot,103,0,random,independent,253;162;70;252,0.122048016;0.024458830;0.619187339;0.234305815,1,1.150846495e+00,5.168264410e-01,1.145981359e+00,4.118494275e-02,7.481391293e-01,8.744915656e-01,3.635659203e-01;1.738307596e+00;9.837125021e-01;1.307067405e+00;3.281492415e-01;1.673858370e+00;9.977962484e-01;9.276266254e-01,1.040010489e+00,1.738307596e+00,,,6.934913950e-09,8.731391178e-01,5.251356943e+00
slot,103,1,random,shared,67;121;101;128,0.187176076;0.155068254;0.056330576;0.601425094,1,3.400390634e-01,1.527060122e-01,3.429135750e-01,4.206051471e-02,3.345436205e-01,6.088621030e-02,3.592315670e-01;3.193887415e-01;3.153953232e-01;3.581791266e-01;3.782127313e-01;3.188626423e-01;3.735560358e-01;2.862292209e-01,3.386319236e-01,3.782127313e-01,1.315479955e-01,1.141923631e-01,4.692504267e-09,4.159108632e-02,2.697546285e-03
slot,103,1,random,independent,67;121;101;128,0.187176076;0.155068254;0.056330576;0.601425094,1,8.872833286e-01,3.984645101e-01,8.812927761e-01,4.206051471e-02,6.555894401e-01,5.978914544e-01,3.592315670e-01;9.422536070e-01;1.246749524e+00;7.928224501e-01;3.782127313e-01;9.238901514e-01;1.261639274e+00;7.141296163e-01,8.273661152e-01,1.261639274e+00,,,5.282050636e-09,6.062203311e-01,4.095550312e+00
slot,103,2,random,shared,137;143;156;37,0.063846979;0.637844664;0.009279875;0.289028482,1,6.594363387e-01,2.961421332e-01,6.622905502e-01,3.999420190e-02,5.064902842e-01,4.222841185e-01,6.177467692e-01;9.081311719e-01;7.277260755e-01;6.477232465e-01;4.808819182e-01;5.354931767e-01;5.424161154e-01;7.149760368e-01,6.468868138e-01,9.081311719e-01,9.021532473e-02,7.831287040e-02,6.285048706e-09,4.266420179e-01,4.080571252e+00
slot,103,2,random,independent,137;143;156;37,0.063846979;0.637844664;0.009279875;0.289028482,1,1.458196896e+00,6.548525066e-01,1.463934514e+00,3.999420190e-02,1.210808660e+00,8.125765039e-01,6.177467692e-01;2.219289282e+00;1.278816960e+00;1.264615567e+00;4.808819182e-01;2.216033336e+00;1.283498993e+00;1.296072269e+00,1.332119387e+00,2.219289282e+00,,,6.285048706e-09,8.065937041e-01,4.633747211e+00
