stage,source_id,particle,finite,mean_pair_distance,rms_radius,radius_ratio,radius_cv,expected_radius_cv,radial_cdf_gap,radial_zone_0,radial_zone_1,radial_zone_2,radial_zone_3,radial_zone_4,radial_zone_5,radial_zone_6,radial_zone_7,radial_zone_8,radial_zone_9,radial_overflow,angular_resultant,angular_moment_error,covariance_ratio,vertex_particle_rmse,vertex_source_rmse,vertex_particle_relative_rmse,vertex_source_relative_rmse,vertex_replay_residual,gate_pass
vertex,496,1,,,,,,,,,,,,,,,,,,,,,,3.487871215e-03,2.956448681e-03,3.566807923e-03,3.023358354e-03,8.692465952e-13,1
vertex,496,2,,,,,,,,,,,,,,,,,,,,,,7.854001384e-04,2.956448681e-03,8.031751356e-04,3.023358354e-03,4.415101571e-13,1
vertex,496,3,,,,,,,,,,,,,,,,,,,,,,2.135431674e-03,2.956448681e-03,2.183760277e-03,3.023358354e-03,7.625537316e-13,1
vertex,496,4,,,,,,,,,,,,,,,,,,,,,,1.980018042e-03,2.956448681e-03,2.024829360e-03,3.023358354e-03,6.802951107e-13,1
vertex,496,5,,,,,,,,,,,,,,,,,,,,,,1.266094128e-04,2.956448681e-03,1.294748082e-04,3.023358354e-03,9.954088365e-14,1
vertex,496,6,,,,,,,,,,,,,,,,,,,,,,1.352789477e-03,2.956448681e-03,1.383405501e-03,3.023358354e-03,5.616380603e-13,1
vertex,496,7,,,,,,,,,,,,,,,,,,,,,,3.396015921e-03,2.956448681e-03,3.472873780e-03,3.023358354e-03,9.049786168e-13,1
vertex,502,0,,,,,,,,,,,,,,,,,,,,,,1.045509463e-03,1.237968067e-03,1.069171195e-03,1.265985479e-03,6.330290416e-13,1
vertex,502,1,,,,,,,,,,,,,,,,,,,,,,1.019446428e-03,1.237968067e-03,1.042518308e-03,1.265985479e-03,4.959686070e-13,1
vertex,502,2,,,,,,,,,,,,,,,,,,,,,,1.282232695e-03,1.237968067e-03,1.311251893e-03,1.265985479e-03,6.261572456e-13,1
vertex,502,3,,,,,,,,,,,,,,,,,,,,,,1.981035569e-03,1.237968067e-03,2.025869915e-03,1.265985479e-03,7.290899788e-13,1
vertex,502,4,,,,,,,,,,,,,,,,,,,,,,5.895226806e-04,1.237968067e-03,6.028646237e-04,1.265985479e-03,4.279655504e-13,1
vertex,502,5,,,,,,,,,,,,,,,,,,,,,,1.161418662e-03,1.237968067e-03,1.187703625e-03,1.265985479e-03,5.249317296e-13,1
vertex,502,6,,,,,,,,,,,,,,,,,,,,,,1.435453608e-03,1.237968067e-03,1.467940467e-03,1.265985479e-03,6.351198339e-13,1
vertex,502,7,,,,,,,,,,,,,,,,,,,,,,8.958674347e-04,1.237968067e-03,9.161425026e-04,1.265985479e-03,4.756215504e-13,1
