stage,plane,finite,mean_pair_distance,rms_radius,radius_ratio,radius_mean,radius_cv,expected_radius_cv,radius_q05_normalized,radius_q25_normalized,radius_q50_normalized,radius_q75_normalized,radius_q95_normalized,uniform_ball_radius,radial_cdf_gap,radial_zone_0,radial_zone_1,radial_zone_2,radial_zone_3,radial_zone_4,radial_zone_5,radial_zone_6,radial_zone_7,radial_zone_8,radial_zone_9,radial_overflow,angular_resultant,angular_moment_error,covariance_ratio,vertex_source_id,vertex_particle,vertex_particle_rmse,vertex_particle_relative_rmse,vertex_source_relative_rmse,vertex_replay_residual,gate_pass
terminal,5,True,1.148752073612549,0.8477169432728532,0.2171373291314154,0.8285204345878137,0.21650885379634477,0.20412414523193154,0.46391998148399627,0.7094882371997044,0.8374533508980061,0.9112625675445896,1.0458141078103818,1.0382369786651817,0.09375,0.1015625,0.10546875,0.09375,0.12109375,0.08203125,0.1484375,0.10546875,0.06640625,0.046875,0.03125,0.09765625,0.0019721284242691455,0.012318934016206389,0.9046178629225663,,,,,,,1
terminal,6,True,1.1487512438840564,0.8477234512263885,0.21717104738393447,0.8285855787613127,0.21616555885221245,0.20412414523193154,0.4666853314426385,0.70693132913018,0.8379689310822018,0.9093440804927745,1.044365251234549,1.0382449492478971,0.09765625,0.11328125,0.08984375,0.1015625,0.10546875,0.09375,0.1484375,0.109375,0.05078125,0.05078125,0.03515625,0.1015625,0.002151618269822177,0.012198442632677145,0.9052660450068215,,,,,,,1
terminal,7,True,1.1484913984733156,0.8475241048651407,0.21737771155321733,0.8283685424945388,0.21629523548672702,0.20412414523193154,0.4720124960886574,0.7124308866302826,0.835694029245003,0.9123335850043642,1.0458458909641115,1.0380008008143284,0.09375,0.1015625,0.1015625,0.09765625,0.12890625,0.0859375,0.125,0.11328125,0.0703125,0.04296875,0.03515625,0.09765625,0.0017930156504489942,0.011336844029820069,0.906040878807618,,,,,,,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,0,9.029080488e-04,4.054813178e-04,4.043285064e-04,4.384801182e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,1,9.047834259e-04,4.063235192e-04,4.043285064e-04,3.716671404e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,2,8.769608863e-04,3.938288692e-04,4.043285064e-04,6.663038763e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,3,8.974341350e-04,4.030230722e-04,4.043285064e-04,4.828556007e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,4,9.111915671e-04,4.092013112e-04,4.043285064e-04,6.519616938e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,5,9.020457761e-04,4.050940852e-04,4.043285064e-04,5.303607202e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,6,9.010759241e-04,4.046585404e-04,4.043285064e-04,4.073335377e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,7,9.059209185e-04,4.068343486e-04,4.043285064e-04,4.511474802e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,0,9.910740461e-04,4.450752331e-04,4.464384697e-04,5.757657458e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,1,9.977905630e-04,4.480915116e-04,4.464384697e-04,7.836265517e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,2,9.794740498e-04,4.398658634e-04,4.464384697e-04,3.831227465e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,3,1.002716917e-03,4.503038569e-04,4.464384697e-04,4.094600439e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,4,1.002601512e-03,4.502520305e-04,4.464384697e-04,3.910127009e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,5,9.950496565e-04,4.468606150e-04,4.464384697e-04,4.877120421e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,6,9.955737970e-04,4.470959980e-04,4.464384697e-04,6.130757870e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,7,9.883858767e-04,4.438680199e-04,4.464384697e-04,5.780562279e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,0,7.558995964e-04,3.394622131e-04,3.401584855e-04,4.503661864e-09,1
