dimension,beta,pair,alpha,terminal_pair_distance,seed_offset_distance,seed_pair_separation_ratio,target_rmse,relative_plane_error,relative_pair_error,arrival_separation_ratio,local_amplification,identity_swapped,collapsed,max_replay_residual,finite,replay_seconds
2,0.1,5,0.0,0.01966708326983827,0.0,1.0,0.002911682722088109,0.002911682722088109,0.25057474103917005,1.0174991723203823,0.0,False,False,3.6019605195747343e-06,True,194.10500399999728
2,0.1,0,0.1,0.0037291263170231995,0.00037291263170232,0.8,0.0019578473787918646,0.0019578473787918646,0.8056709395183335,0.7959503264079858,0.6563170513525572,False,False,2.1352793774415034e-06,True,194.10500399999728
2,0.1,1,0.1,0.010136125751419187,0.0010136125751419188,0.8,0.002764466511062569,0.002764466511062569,0.2108271315559239,0.7756880034328926,1.3345416817642188,False,False,1.8982764026924893e-06,True,194.10500399999728
2,0.1,2,0.1,0.013557841940041953,0.0013557841940041954,0.8,0.0022540129436524046,0.0022540129436524046,0.4162153181819826,0.7978109679563562,0.416643596720045,False,False,2.4954685390116124e-06,True,194.10500399999728
2,0.1,3,0.1,0.01577827232613293,0.001577827232613293,0.8,0.0020983304782109446,0.0020983304782109446,0.4244979648152586,0.8128180246226542,0.3188221937017086,False,False,2.785321505353966e-06,True,194.10500399999728
2,0.1,4,0.1,0.017117788392927002,0.0017117788392927002,0.8,0.0027526275900194015,0.0027526275900194015,0.1509092848003753,0.8003614191374262,1.0747846803661083,False,False,2.3301168215200683e-06,True,194.10500399999728
2,0.1,5,0.1,0.01966708326983827,0.0019667083269838273,0.8,0.002983597270482359,0.002983597270482359,0.2567635916320379,0.811265035196927,0.6135915605005341,False,False,3.5837473486404695e-06,True,194.10500399999728
2,0.1,0,0.25,0.0037291263170231995,0.0009322815792557999,0.5,0.0020578652966932523,0.0020578652966932523,0.8468291680693266,0.4967009602238887,0.6535142892141206,False,False,2.130815285967915e-06,True,194.10500399999728
2,0.1,1,0.25,0.010136125751419187,0.0025340314378547966,0.5,0.004311644691076536,0.004311644691076536,0.3288199292233784,0.48103141923416404,1.3061598466159685,False,False,1.8866006887145477e-06,True,194.10500399999728
2,0.1,2,0.25,0.013557841940041953,0.0033894604850104883,0.5,0.0026579490201198057,0.0026579490201198057,0.49080423439274407,0.49540887081619245,0.4100092745767323,False,False,2.48615451484803e-06,True,194.10500399999728
2,0.1,3,0.25,0.01577827232613293,0.003944568081533232,0.5,0.0023599769129423014,0.0023599769129423014,0.4774297504410039,0.5085651051087167,0.31877479323749,False,False,2.773344302616975e-06,True,194.10500399999728
2,0.1,4,0.25,0.017117788392927002,0.0042794470982317505,0.5,0.004976188892419725,0.004976188892419725,0.2728131874829241,0.49949924005635804,1.0715638478159244,False,False,2.329344701374148e-06,True,194.10500399999728
2,0.1,5,0.25,0.01966708326983827,0.004916770817459568,0.5,0.0038973356579945855,0.0038973356579945855,0.33539845046865824,0.5052105433546467,0.6083439924547832,False,False,3.5576375286077197e-06,True,194.10500399999728
2,0.1,0,0.4,0.0037291263170231995,0.00149165052680928,0.19999999999999996,0.002203994728130564,0.002203994728130564,0.9069626787774127,0.19851559145583536,0.6513714222257683,False,True,2.126232701128865e-06,True,194.10500399999728
2,0.1,1,0.4,0.010136125751419187,0.004054450300567675,0.19999999999999996,0.005999805530330384,0.005999805530330384,0.4575645191544497,0.19161279098937264,1.2847281746243244,False,True,1.8742795910596724e-06,True,194.10500399999728
2,0.1,2,0.4,0.013557841940041953,0.0054231367760167815,0.19999999999999996,0.0031857799564350827,0.0031857799564350827,0.5882709866238864,0.19748119190965055,0.40506645130896846,False,True,2.476414667487845e-06,True,194.10500399999728
2,0.1,3,0.4,0.01577827232613293,0.006311308930453172,0.19999999999999996,0.002814506918163963,0.002814506918163963,0.5693824071686384,0.20354670140585918,0.31869670387868904,False,True,2.7612916724891975e-06,True,194.10500399999728
2,0.1,4,0.4,0.017117788392927002,0.006847115357170801,0.19999999999999996,0.007552273067390953,0.007552273067390953,0.4140437054941647,0.19964303731415822,1.069143141648512,False,True,2.328423298197863e-06,True,194.10500399999728
2,0.1,5,0.4,0.01966708326983827,0.00786683330793531,0.19999999999999996,0.0052957123920170535,0.0052957123920170535,0.455740507432747,0.20169364665240386,0.6044135634781159,False,True,3.5328224888435725e-06,True,194.10500399999728
2,0.1,0,0.49,0.0037291263170231995,0.0018272718953413678,0.020000000000000018,0.0023101259385101816,0.0023101259385101816,0.9506365794629341,0.01984845648470449,0.6503983559359111,False,True,2.1234231662306295e-06,True,194.10500399999728
2,0.1,1,0.49,0.010136125751419187,0.004966701618195402,0.020000000000000018,0.007030920402113207,0.007030920402113207,0.5362006646287063,0.019146297952672437,1.2750324450488935,False,True,1.8665572135546964e-06,True,194.10500399999728
2,0.1,2,0.49,0.013557841940041953,0.006643342550620557,0.020000000000000018,0.0035378140007339,0.0035378140007339,0.6532759202341158,0.019735342788416026,0.4028637974516524,False,True,2.470338733609229e-06,True,194.10500399999728
2,0.1,3,0.49,0.01577827232613293,0.007731353439805135,0.020000000000000018,0.003146459220292407,0.003146459220292407,0.6365372610548614,0.020356956133108436,0.3186325490117328,False,True,2.7540255095936446e-06,True,194.10500399999728
2,0.1,4,0.49,0.017117788392927002,0.008387716312534231,0.020000000000000018,0.009144076976083219,0.009144076976083219,0.5013123175919961,0.01996134844383382,1.0680755649708509,False,True,2.3277944331155933e-06,True,194.10500399999728
2,0.1,5,0.49,0.01966708326983827,0.009636870802220752,0.020000000000000018,0.0062344155471055025,0.0062344155471055025,0.5365237940918978,0.020162027615047932,0.6026646355610016,False,True,3.5184889444111913e-06,True,194.10500399999728
2,0.2,0,0.0,0.0037291263170231995,0.0,1.0,0.001147633961064091,0.001147633961064091,0.47226118932937877,1.004080350966658,0.0,False,False,5.665215682907719e-09,True,193.4873546000017
2,0.2,1,0.0,0.010136125751419187,0.0,1.0,0.0010473915832032478,0.0010473915832032478,0.07987745997967731,0.9989619826522299,0.0,False,False,5.107814918809487e-09,True,193.4873546000017
2,0.2,2,0.0,0.013557841940041953,0.0,1.0,0.0012963236396549254,0.0012963236396549254,0.23937296263770055,1.0050753939812627,0.0,False,False,6.649897883032509e-09,True,193.4873546000017
2,0.2,3,0.0,0.01577827232613293,0.0,1.0,0.0012903879134409824,0.0012903879134409824,0.2610489857369542,1.008298182070973,0.0,False,False,7.434070806021183e-09,True,193.4873546000017
2,0.2,4,0.0,0.017117788392927002,0.0,1.0,0.0012247562295663234,0.0012247562295663234,0.067145692838658,0.999483041934731,0.0,False,False,6.216272815896542e-09,True,193.4873546000017
2,0.2,5,0.0,0.01966708326983827,0.0,1.0,0.001731162057772285,0.001731162057772285,0.14898102771720897,1.005758854757586,0.0,False,False,9.445019993606087e-09,True,193.4873546000017
2,0.2,0,0.1,0.0037291263170231995,0.00037291263170232,0.8,0.0011942503090825083,0.0011942503090825083,0.49144421519326786,0.8020886761839741,0.6615794488506251,False,False,5.65802185244416e-09,True,193.4873546000017
2,0.2,1,0.1,0.010136125751419187,0.0010136125751419188,0.8,0.0019137913561821792,0.0019137913561821792,0.14595190081189527,0.7930850042146232,1.368464539651338,False,False,5.0899596208624405e-09,True,193.4873546000017
2,0.2,2,0.1,0.013557841940041953,0.0013557841940041954,0.8,0.0014912181767777095,0.0014912181767777095,0.2753612616441144,0.7991344076483247,0.4175616989776854,False,False,6.634786546079934e-09,True,193.4873546000017
2,0.2,3,0.1,0.01577827232613293,0.001577827232613293,0.8,0.0013594023223603249,0.0013594023223603249,0.2750107884336234,0.8074857306400133,0.3166956642951059,False,False,7.4127950203371866e-09,True,193.4873546000017
2,0.2,4,0.1,0.017117788392927002,0.0017117788392927002,0.8,0.0021742890847701924,0.0021742890847701924,0.11920261640973366,0.7985097446533609,1.0723499037081061,False,False,6.216091861466365e-09,True,193.4873546000017
2,0.2,5,0.1,0.01966708326983827,0.0019667083269838273,0.8,0.0019710208585742273,0.0019710208585742273,0.1696228910771736,0.8019396485838494,0.6062919779242558,False,False,9.392331182363692e-09,True,193.4873546000017
2,0.2,0,0.25,0.0037291263170231995,0.0009322815792557999,0.5,0.0013392320381506461,0.0013392320381506461,0.5511054365615023,0.5005132421258637,0.658684836916607,False,False,5.6470047125069575e-09,True,193.4873546000017
