seed,path_index,category,permutation_frame,first_source_id,second_source_id,particle_permutation,distance_d1,distance_du,distance_d1_fixed_matching,t,lambda,terminal_step_norm,output_step_norm,step_amplification,nearest_source_identity,nearest_source_changed,pairwise_relation_change,maximum_particle_jump,particle_jumps,terminal_displacement_from_start,output_displacement_from_start,direct_displacement_from_start,max_replay_residual,replay_runtime,finite
4652,1,close_du,d1,21,133,4;7;1;0;2;3;5;6,0.8379840719130148,0.7026679043439146,0.8379840719130148,0.97,0.03;0.97,0.017358193162413497,2.2887833992611187e-16,1.3185608535669069e-14,133,0,0.0,2.2887833992611187e-16,0;0;0;0;2.28878339926e-16;0;0;0,1.6837447367541103,4.437994041230557,4.3097496832888975,1.4839989797332117e-05,13.992264002227703,1
4652,1,close_du,d1,21,133,4;7;1;0;2;3;5;6,0.8379840719130148,0.7026679043439146,0.8379840719130148,0.98,0.02;0.98,0.0173581931624135,2.7755575615628914e-16,1.598989903841452e-14,133,0,1.5129789507223254e-16,2.7755575615628914e-16,0;0;0;0;0;2.77555756156e-16;0;0,1.7011029299165237,4.437994041230557,4.3541800923949685,1.4839989797332117e-05,13.992264002227703,1
4652,1,close_du,d1,21,133,4;7;1;0;2;3;5;6,0.8379840719130148,0.7026679043439146,0.8379840719130148,0.99,0.01;0.99,0.017358193162413556,2.7755575615628914e-16,1.598989903841447e-14,133,0,1.5129789507223254e-16,2.7755575615628914e-16,0;0;0;0;0;2.77555756156e-16;0;0,1.7184611230789373,4.437994041230557,4.3986105015010395,1.4839989797332117e-05,13.992264002227703,1
4652,1,close_du,d1,21,133,4;7;1;0;2;3;5;6,0.8379840719130148,0.7026679043439146,0.8379840719130148,1.0,0;1,0.017358193162413514,3.152427400121712e-16,1.8161034219551184e-14,133,0,1.0278667914282462e-16,3.152427400121712e-16,0;0;0;0;0;0;3.15242740012e-16;0,1.7358193162413507,4.437994041230557,4.443040910607111,1.4839989797332117e-05,13.992264002227703,1
4652,2,close_du_far_d1,d1,116,133,5;2;6;0;1;3;7;4,1.330848747660695,0.9129949326913567,1.330848747660695,0.0,1;0,0.0,0.0,0.0,116,0,0.0,0.0,0;0;0;0;0;0;0;0,0.0,0.0,0.0,1.1051834521375635e-05,13.992264002227703,1
4652,2,close_du_far_d1,d1,116,133,5;2;6;0;1;3;7;4,1.330848747660695,0.9129949326913567,1.330848747660695,0.01,0.99;0.01,0.022573797540187245,2.237726045655905e-16,9.912935746288009e-15,116,0,4.1962486042515756e-17,2.237726045655905e-16,0;0;0;0;0;0;0;2.23772604566e-16,0.022573797540187245,2.237726045655905e-16,0.07188084925230923,1.1051834521375635e-05,13.992264002227703,1
4652,2,close_du_far_d1,d1,116,133,5;2;6;0;1;3;7;4,1.330848747660695,0.9129949326913567,1.330848747660695,0.02,0.98;0.02,0.022573797540187086,2.237726045655905e-16,9.91293574628808e-15,116,0,4.1962486042515756e-17,2.237726045655905e-16,0;0;0;0;0;0;0;2.23772604566e-16,0.04514759508037433,0.0,0.14376169850461837,1.1051834521375635e-05,13.992264002227703,1
4652,2,close_du_far_d1,d1,116,133,5;2;6;0;1;3;7;4,1.330848747660695,0.9129949326913567,1.330848747660695,0.03,0.97;0.03,0.02257379754018726,0.0,0.0,116,0,0.0,0.0,0;0;0;0;0;0;0;0,0.06772139262056158,0.0,0.2156425477569278,1.1051834521375635e-05,13.992264002227703,1
4652,2,close_du_far_d1,d1,116,133,5;2;6;0;1;3;7;4,1.330848747660695,0.9129949326913567,1.330848747660695,0.04,0.96;0.04,0.02257379754018704,3.040470972244059e-16,1.3469027383767642e-14,116,0,9.383097129595137e-17,3.040470972244059e-16,3.04047097224e-16;0;0;0;0;0;0;0,0.09029519016074863,3.040470972244059e-16,0.28752339700923657,1.1051834521324987e-05,13.992264002227703,1
4652,2,close_du_far_d1,d1,116,133,5;2;6;0;1;3;7;4,1.330848747660695,0.9129949326913567,1.330848747660695,0.05,0.95;0.05,0.022573797540187276,3.040470972244059e-16,1.34690273837675e-14,116,0,9.383097129595137e-17,3.040470972244059e-16,3.04047097224e-16;0;0;0;0;0;0;0,0.1128689877009359,0.0,0.3594042462615462,1.1051834521375635e-05,13.992264002227703,1
4652,2,close_du_far_d1,d1,116,133,5;2;6;0;1;3;7;4,1.330848747660695,0.9129949326913567,1.330848747660695,0.06,0.94;0.06,0.02257379754018715,1.5700924586837752e-16,6.955375832925797e-15,116,0,8.392497208503151e-17,1.5700924586837752e-16,0;1.57009245868e-16;0;0;0;0;0;0,0.13544278524112308,1.5700924586837752e-16,0.4312850955138553,1.1051834521375635e-05,13.992264002227703,1
4652,2,close_du_far_d1,d1,116,133,5;2;6;0;1;3;7;4,1.330848747660695,0.9129949326913567,1.330848747660695,0.07,0.93;0.07,0.02257379754018719,1.5700924586837752e-16,6.9553758329257855e-15,116,0,8.392497208503151e-17,1.5700924586837752e-16,0;1.57009245868e-16;0;0;0;0;0;0,0.15801658278131026,0.0,0.5031659447661646,1.1051834521375635e-05,13.992264002227703,1
4652,2,close_du_far_d1,d1,116,133,5;2;6;0;1;3;7;4,1.330848747660695,0.9129949326913567,1.330848747660695,0.08,0.92;0.08,0.02257379754018702,4.440892098500626e-16,1.9672773668651563e-14,116,0,1.8766194259190274e-16,4.440892098500626e-16,0;0;4.4408920985e-16;0;0;0;0;0,0.18059038032149727,4.440892098500626e-16,0.5750467940184733,1.1051834521375635e-05,13.992264002227703,1
4652,2,close_du_far_d1,d1,116,133,5;2;6;0;1;3;7;4,1.330848747660695,0.9129949326913567,1.330848747660695,0.09,0.91;0.09,0.022573797540187186,4.440892098500626e-16,1.9672773668651418e-14,116,0,1.8766194259190274e-16,4.440892098500626e-16,0;0;4.4408920985e-16;0;0;0;0;0,0.20316417786168448,0.0,0.6469276432707823,1.1051834521375635e-05,13.992264002227703,1
4652,2,close_du_far_d1,d1,116,133,5;2;6;0;1;3;7;4,1.330848747660695,0.9129949326913567,1.330848747660695,0.1,0.9;0.1,0.02257379754018715,2.2887833992611187e-16,1.0139115473089971e-14,116,0,9.383097129595137e-17,2.2887833992611187e-16,0;0;0;2.28878339926e-16;0;0;0;0,0.22573797540187163,2.2887833992611187e-16,0.7188084925230914,1.1051834521375635e-05,13.992264002227703,1
4652,2,close_du_far_d1,d1,116,133,5;2;6;0;1;3;7;4,1.330848747660695,0.9129949326913567,1.330848747660695,0.11,0.89;0.11,0.022573797540187193,2.2887833992611187e-16,1.0139115473089952e-14,116,0,9.383097129595137e-17,2.2887833992611187e-16,0;0;0;2.28878339926e-16;0;0;0;0,0.24831177294205883,0.0,0.7906893417754008,1.1051834521375635e-05,13.992264002227703,1
4652,2,close_du_far_d1,d1,116,133,5;2;6;0;1;3;7;4,1.330848747660695,0.9129949326913567,1.330848747660695,0.12,0.88;0.12,0.02257379754018715,1.3871872262297111,61.45121235185006,116,0,0.3098569306092017,1.3871872262297111,0;0;0;1.38718722623;6.35960131078e-17;0;0;0,0.270885570482246,1.3871872262297111,0.8625701910277097,1.1051834521375635e-05,13.992264002227703,1
