stage,forward_id,layout,source_count,seed,epsilon,exponent_s,gamma,tau,steps,beta,proximal_steps,vertex_sources,particle_count,particle_median_relative_rmse,particle_p90_relative_rmse,particle_p95_relative_rmse,particle_max_relative_rmse,source_relative_rmse,source_max_relative_rmse,max_replay_residual,forward_seconds,replay_seconds,gate_pass,error
screen,slot_eps0.03_s3_g0.0005_tau2,slot,256,61,0.03,3.0,0.0005,2.0,4000,0.05,25,1,8,0.009816087785154321,0.010093102449750329,0.010111132617024997,0.010129162784299666,9.809426814e-03,0.009809426814037632,0.00013418649256281427,116.70481849999487,23.93202420000307,1,
screen,slot_eps0.03_s3_g0.0005_tau2,slot,256,61,0.03,3.0,0.0005,2.0,4000,0.05,50,1,8,0.0021821249844330044,0.002229896722969048,0.0022332094859216028,0.0022365222488741577,2.181010512e-03,0.002181010512234925,2.9112498954502205e-05,116.70481849999487,46.13856759999908,1,
screen,slot_eps0.03_s3_g0.0005_tau2,slot,256,61,0.03,3.0,0.0005,2.0,4000,0.05,100,1,8,0.0004909370587940448,0.0005016943441217049,0.0005024627164298365,0.0005032310887379682,4.907246629e-04,0.0004907246629147156,2.023367519544918e-06,116.70481849999487,100.59558499999548,1,
screen,slot_eps0.03_s3_g0.0005_tau2,slot,256,61,0.03,3.0,0.0005,2.0,4000,0.05,200,1,8,0.0003659444278393671,0.00037400387786222056,0.0003745855607022628,0.000375167243542305,3.657962267e-04,0.00036579622670401417,1.1184716322110501e-08,116.70481849999487,198.95846759999404,1,
screen,slot_eps0.03_s3_g0.0005_tau2,slot,256,61,0.03,3.0,0.0005,2.0,4000,0.1,25,1,8,0.002047196926801937,0.0020919580612757628,0.0020950651515455653,0.002098172241815368,2.046156969e-03,0.0020461569689121314,2.6969019902429123e-05,116.70481849999487,20.879873900004895,1,
screen,slot_eps0.03_s3_g0.0005_tau2,slot,256,61,0.03,3.0,0.0005,2.0,4000,0.1,50,1,8,0.0004741944290193111,0.000484590015934504,0.00048533337102177137,0.0004860767261090387,4.739906592e-04,0.0004739906592091114,1.7538424675482281e-06,116.70481849999487,27.59817800000019,1,
screen,slot_eps0.03_s3_g0.0005_tau2,slot,256,61,0.03,3.0,0.0005,2.0,4000,0.1,100,1,8,0.0003657724085860255,0.00037382815134070666,0.00037440957747049533,0.000374991003600284,3.656242954e-04,0.00036562429540113774,8.415490152982889e-09,116.70481849999487,59.262537800001155,1,
screen,slot_eps0.03_s3_g0.0005_tau2,slot,256,61,0.03,3.0,0.0005,2.0,4000,0.1,200,1,8,0.0003652496623867003,0.00037329414971751446,0.0003738747963320149,0.0003744554429465153,3.651018161e-04,0.00036510181607866916,1.9559329824767264e-13,116.70481849999487,146.86842210000032,1,
screen,single_eps0.03_s3_g0.001_tau2,single,256,61,0.03,3.0,0.001,2.0,2000,0.025,25,1,8,0.3423126714058453,0.42156675983076,0.4272369932891017,0.4329072267474435,3.540267789e-01,0.3540267788970759,0.00033908072994802283,377.00082439999824,20.735826500000258,0,
screen,single_eps0.03_s3_g0.001_tau2,single,256,61,0.03,3.0,0.001,2.0,2000,0.025,50,1,8,0.18547186227379617,0.2509181577966151,0.25198300234514776,0.25304784689368043,1.999952784e-01,0.19999527844084167,0.0001999157029611899,377.00082439999824,60.48375220000162,0,
